HL7 Da Vinci Project,"The HL7 Da Vinci Project is a private-sector initiative bringing together 60+ industry-leading payers, providers, and technology vendors to accelerate the adoption of HL7® FHIR®. By uniting stakeholde...",12620
HL7 FHIR At Scale Taskforce (FAST),,12511-11
Honey Health,"Honey Health is the all-in-one AI back office for primary and specialty care. We replace manual workflows with intelligent automation—so providers can move faster, lower costs, and focus on what matte...",717-09
Honeywell,"Honeywell is Improving patient care with innovative solutions that drive efficiency, accuracy, and safety across healthcare workflows.",2564
Hopper OS,"Hopper Operating Systems is the industry’s only configurable, intelligent healthcare operating system, built to deliver better performance, experiences, and outcomes across the entire care continuum. ...",4809
Howard Medical,"Howard Medical is a leading provider of integrated medical solutions designed to ease workflows, boost efficiency, and enhance patient care. From state-of-the-art Audiovisual installations and Patient...",3139
HP Healthcare Solutions,"As the world’s largest technology company, HP creates technology that inspires ambitious and meaningful progress—helping healthcare organizations deliver more connected, secure, and efficient patient ...",2575
Hugo Inc.,"Hugo is an AI-enabled CX partner supporting healthcare and healthtech organizations in delivering responsive, compliant patient and member support. We analyze, design, and build custom AI agents tailo...",1118
"Humata Health, Inc.",,2812
Hyland,"Hyland is the pioneer of the Content Innovation Cloud, delivering ubiquitous enterprise intelligence to organizations with solutions that unlock actionable insights and drive automation. Trusted by th...","2822, 3031, VHQ13953"
Hyro,"Hyro, the leading Responsible AI-Powered Communications Platform for healthcare, enables health systems to safely automate workflows and conversations across their call centers, websites, SMS, mobile ...",2812
iboss,"iboss is an AI-Powered Zero Trust Secure Access Service Edge (SASE) platform that consolidates network and security into a single cloud service. iboss ingests deep signals across endpoint, network, an...",10503
Iconic by MDR,"Iconic powered by MDR is an innovative SaaS platform that delivers true interoperability for post-acute care partners and LTC providers. By integrating directly with the EMR, Iconic centralizes reside...",1318
IEI Technology USA Corp.,"IEI Technology USA Corp. is a leading supplier of IPC (Industrial PC) and AIoT solutions, dedicated to providing innovative industrial computers, embedded systems, and artificial intelligence Internet...",3909
IGEL Technology Corporation,"Clinicians need fast, reliable access to clinical applications so they can spend more time with patients. Hospitals need secure, low-cost workstations with choice of hardware and proven peripheral sup...",4267
"iHealth Labs, Inc.","Nationally recognized for its orange-box COVID tests, iHealth Labs is a leading provider of innovative digital health solutions that are transforming traditional healthcare. iHealth's range of cons...",2673
ImageTrend,"ImageTrend offers sophisticated software solutions to facilitate crucial data collection and analysis for emergency medical professionals. With seamlessly integrated architecture, ImageTrend solutions...","CD-09, MP11150"
IMO Health,"IMO Health is a clinical data intelligence business at the heart of a digital revolution in healthcare. Combining rich, highly nuanced medical terminology, extensive domain knowledge, and artificial i...",3831
"Imorgon Medical, LLC",Automated Measurement Transfer Plus Interoperability | Clinical Intelligence | Zero Operational Burden Imorgon is middleware that automates measurement transfer between imaging modalities and repo...,CD-07
Imprivata,Imprivata delivers solutions that provide simple and secure access management for healthcare and other mission-critical industries to ensure every second of vital work is both frictionless and secure....,2453
Indian Health Service,"The Indian Health Service (IHS) provides federal health services to American Indian/Alaska Native (AI/AN) people. Within the IHS, the Health IT Modernization Program's vision is to deliver and sustain...",12526-08
Industrial Technology Research Institute,"ITRI is a world-leading applied technology research institute with more than 6,000 outstanding employees. Its mission is to drive industrial development, create economic value, and enhance social well...",4016
Infinite / OptaFi,"Infinite and OptaFi help healthcare organizations migrate EHR and surrounding applications to the cloud, accelerate cloud and AI adoption, and optimize environments through end-to-end managed services...",2812
INFINITT North America,"INFINITT North America, part of INFINITT Healthcare, delivers advanced healthcare IT solutions to hospitals and clinics across the globe. With over 6,500 installations in 55 countries, we support radi...",4339
Info-Tech Research Group,"Info-Tech Research Group is the world’s fastest growing information technology research and advisory company, proudly serving over 30,000 IT professionals. We produce unbiased and highly relevant r...",10817
Infor,"Infor is a global leader in business cloud software specialized by industry. We develop complete solutions for our focus industries, including industrial manufacturing, distribution, healthcare, food ...",3631
Infosim®,"Founded in 2003 as a spin-off from the University of Würzburg, Germany, Infosim® is a global leader in automated Service Fulfillment and Service Assurance solutions. The company develops StableNet®, a...",267
